"No.","Time","Source","Destination","Protocol","Length","Bytes in flight","Time since previous frame in this TCP stream","TCP Segment Len","Calculated window size","Info"
"1","0.000000","192.168.10.184","192.168.10.196","TCP","74","","0.000000000","0","65535","52343  >  5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM=1 TSval=2027714706 TSecr=0"
"2","0.105354","192.168.10.196","192.168.10.184","TCP","66","","0.105354000","0","65535","5201  >  52343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"3","0.105449","192.168.10.184","192.168.10.196","TCP","54","","0.000095000","0","262144","52343  >  5201 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"4","0.105480","192.168.10.184","192.168.10.196","TCP","91","37","0.000031000","37","262144","52343  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=262144 Len=37"
"5","0.268582","192.168.10.196","192.168.10.184","TCP","54","","0.163102000","0","212952","5201  >  52343 [ACK] Seq=1 Ack=38 Win=212952 Len=0"
"6","0.350994","192.168.10.184","192.168.10.196","TCP","1514","1460","0.082412000","1460","262144","52343  >  5201 [ACK] Seq=38 Ack=1 Win=262144 Len=1460"
"7","0.350994","192.168.10.184","192.168.10.196","TCP","1514","2920","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=1498 Ack=1 Win=262144 Len=1460"
"8","0.350995","192.168.10.184","192.168.10.196","TCP","1514","4380","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=2958 Ack=1 Win=262144 Len=1460"
"9","0.350995","192.168.10.184","192.168.10.196","TCP","1514","5840","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=4418 Ack=1 Win=262144 Len=1460"
"10","0.351003","192.168.10.184","192.168.10.196","TCP","1514","7300","0.000008000","1460","262144","52343  >  5201 [ACK] Seq=5878 Ack=1 Win=262144 Len=1460"
"11","0.351004","192.168.10.184","192.168.10.196","TCP","1514","8760","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=7338 Ack=1 Win=262144 Len=1460"
"12","0.351004","192.168.10.184","192.168.10.196","TCP","1514","10220","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=8798 Ack=1 Win=262144 Len=1460"
"13","0.351004","192.168.10.184","192.168.10.196","TCP","1514","11680","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=10258 Ack=1 Win=262144 Len=1460"
"14","0.460172","192.168.10.196","192.168.10.184","TCP","54","","0.109168000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=11718 Win=212992 Len=0"
"15","0.460234","192.168.10.184","192.168.10.196","TCP","1514","1460","0.000062000","1460","262144","52343  >  5201 [ACK] Seq=11718 Ack=1 Win=262144 Len=1460"
"16","0.460234","192.168.10.184","192.168.10.196","TCP","1514","2920","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=13178 Ack=1 Win=262144 Len=1460"
"17","0.460235","192.168.10.184","192.168.10.196","TCP","1514","4380","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=14638 Ack=1 Win=262144 Len=1460"
"18","0.460235","192.168.10.184","192.168.10.196","TCP","1514","5840","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=16098 Ack=1 Win=262144 Len=1460"
"19","0.460236","192.168.10.184","192.168.10.196","TCP","1514","7300","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=17558 Ack=1 Win=262144 Len=1460"
"20","0.460236","192.168.10.184","192.168.10.196","TCP","1514","8760","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=19018 Ack=1 Win=262144 Len=1460"
"21","0.460237","192.168.10.184","192.168.10.196","TCP","1514","10220","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=20478 Ack=1 Win=262144 Len=1460"
"22","0.460237","192.168.10.184","192.168.10.196","TCP","1514","11680","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=21938 Ack=1 Win=262144 Len=1460"
"23","0.460238","192.168.10.184","192.168.10.196","TCP","1514","13140","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=23398 Ack=1 Win=262144 Len=1460"
"24","0.460238","192.168.10.184","192.168.10.196","TCP","1514","14600","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=24858 Ack=1 Win=262144 Len=1460"
"25","0.592291","192.168.10.196","192.168.10.184","TCP","54","","0.132053000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=26318 Win=212992 Len=0"
"26","0.592451","192.168.10.184","192.168.10.196","TCP","1514","1460","0.000160000","1460","262144","52343  >  5201 [ACK] Seq=26318 Ack=1 Win=262144 Len=1460"
"27","0.592454","192.168.10.184","192.168.10.196","TCP","1514","2920","0.000003000","1460","262144","52343  >  5201 [ACK] Seq=27778 Ack=1 Win=262144 Len=1460"
"28","0.592455","192.168.10.184","192.168.10.196","TCP","1514","4380","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=29238 Ack=1 Win=262144 Len=1460"
"29","0.592455","192.168.10.184","192.168.10.196","TCP","1514","5840","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=30698 Ack=1 Win=262144 Len=1460"
"30","0.592457","192.168.10.184","192.168.10.196","TCP","1514","7300","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=32158 Ack=1 Win=262144 Len=1460"
"31","0.592458","192.168.10.184","192.168.10.196","TCP","1514","8760","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=33618 Ack=1 Win=262144 Len=1460[Packet size limited during capture]"
"32","0.592459","192.168.10.184","192.168.10.196","TCP","1514","10220","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=35078 Ack=1 Win=262144 Len=1460"
"33","0.592460","192.168.10.184","192.168.10.196","TCP","1514","11680","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=36538 Ack=1 Win=262144 Len=1460"
"34","0.592460","192.168.10.184","192.168.10.196","TCP","1514","13140","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=37998 Ack=1 Win=262144 Len=1460"
"35","0.592462","192.168.10.184","192.168.10.196","TCP","1514","14600","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=39458 Ack=1 Win=262144 Len=1460"
"36","0.592463","192.168.10.184","192.168.10.196","TCP","1514","16060","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=40918 Ack=1 Win=262144 Len=1460"
"37","0.592464","192.168.10.184","192.168.10.196","TCP","1514","17520","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=42378 Ack=1 Win=262144 Len=1460"
"38","0.714379","192.168.10.196","192.168.10.184","TCP","54","","0.121915000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=43838 Win=212992 Len=0"
"39","0.714538","192.168.10.184","192.168.10.196","TCP","1514","1460","0.000159000","1460","262144","52343  >  5201 [ACK] Seq=43838 Ack=1 Win=262144 Len=1460"
"40","0.714540","192.168.10.184","192.168.10.196","TCP","1514","2920","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=45298 Ack=1 Win=262144 Len=1460"
"41","0.714540","192.168.10.184","192.168.10.196","TCP","1514","4380","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=46758 Ack=1 Win=262144 Len=1460"
"42","0.714541","192.168.10.184","192.168.10.196","TCP","1514","5840","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=48218 Ack=1 Win=262144 Len=1460[Packet size limited during capture]"
"43","0.714542","192.168.10.184","192.168.10.196","TCP","1514","7300","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=49678 Ack=1 Win=262144 Len=1460"
"44","0.714543","192.168.10.184","192.168.10.196","TCP","1514","8760","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=51138 Ack=1 Win=262144 Len=1460"
"45","0.714543","192.168.10.184","192.168.10.196","TCP","1514","10220","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=52598 Ack=1 Win=262144 Len=1460"
"46","0.714544","192.168.10.184","192.168.10.196","TCP","1514","11680","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=54058 Ack=1 Win=262144 Len=1460"
"47","0.714545","192.168.10.184","192.168.10.196","TCP","1514","13140","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=55518 Ack=1 Win=262144 Len=1460"
"48","0.714546","192.168.10.184","192.168.10.196","TCP","1514","14600","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=56978 Ack=1 Win=262144 Len=1460"
"49","0.714546","192.168.10.184","192.168.10.196","TCP","1514","16060","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=58438 Ack=1 Win=262144 Len=1460"
"50","0.714548","192.168.10.184","192.168.10.196","TCP","1514","17520","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=59898 Ack=1 Win=262144 Len=1460"
"51","0.714549","192.168.10.184","192.168.10.196","TCP","1514","18980","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=61358 Ack=1 Win=262144 Len=1460"
"52","0.714550","192.168.10.184","192.168.10.196","TCP","1514","20440","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=62818 Ack=1 Win=262144 Len=1460"
"53","0.836374","192.168.10.196","192.168.10.184","TCP","54","","0.121824000","0","212992","5201  >  52343 [ACK] Seq=1 Ack=64278 Win=212992 Len=0"
"54","0.836513","192.168.10.184","192.168.10.196","TCP","1514","1460","0.000139000","1460","262144","52343  >  5201 [ACK] Seq=64278 Ack=1 Win=262144 Len=1460"
"55","0.836515","192.168.10.184","192.168.10.196","TCP","1514","2920","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=65738 Ack=1 Win=262144 Len=1460"
"56","0.836516","192.168.10.184","192.168.10.196","TCP","1514","4380","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=67198 Ack=1 Win=262144 Len=1460"
"57","0.836517","192.168.10.184","192.168.10.196","TCP","1514","5840","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=68658 Ack=1 Win=262144 Len=1460"
"58","0.836518","192.168.10.184","192.168.10.196","TCP","1514","7300","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=70118 Ack=1 Win=262144 Len=1460"
"59","0.836520","192.168.10.184","192.168.10.196","TCP","1514","8760","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=71578 Ack=1 Win=262144 Len=1460"
"60","0.836521","192.168.10.184","192.168.10.196","TCP","1514","10220","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=73038 Ack=1 Win=262144 Len=1460"
"61","0.836522","192.168.10.184","192.168.10.196","TCP","1514","11680","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=74498 Ack=1 Win=262144 Len=1460"
"62","0.836523","192.168.10.184","192.168.10.196","TCP","1514","13140","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=75958 Ack=1 Win=262144 Len=1460"
"63","0.836524","192.168.10.184","192.168.10.196","TCP","1514","14600","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=77418 Ack=1 Win=262144 Len=1460"
"64","0.836526","192.168.10.184","192.168.10.196","TCP","1514","16060","0.000002000","1460","262144","52343  >  5201 [ACK] Seq=78878 Ack=1 Win=262144 Len=1460"
"65","0.836526","192.168.10.184","192.168.10.196","TCP","1514","17520","0.000000000","1460","262144","52343  >  5201 [ACK] Seq=80338 Ack=1 Win=262144 Len=1460"
"66","0.836661","192.168.10.184","192.168.10.196","TCP","1514","18980","0.000135000","1460","262144","52343  >  5201 [ACK] Seq=81798 Ack=1 Win=262144 Len=1460"
"67","0.836662","192.168.10.184","192.168.10.196","TCP","1514","20440","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=83258 Ack=1 Win=262144 Len=1460"
"68","0.836663","192.168.10.184","192.168.10.196","TCP","1514","21900","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=84718 Ack=1 Win=262144 Len=1460"
"69","0.836664","192.168.10.184","192.168.10.196","TCP","1514","23360","0.000001000","1460","262144","52343  >  5201 [ACK] Seq=86178 Ack=1 Win=262144 Len=1460"
